workload,run_num,cores_per_run,core_offset,warmup_instrs,roi_instrs,simtime
sierra.a.6,1,1,1,50000000,500000000,15272
sierra.a.6,2,1,2,50000000,500000000,14314
sierra.a.6,3,1,3,50000000,500000000,14839
sierra.a.6,4,1,4,50000000,500000000,14649
sierra.a.6,5,1,5,50000000,500000000,14989
sierra.a.6,6,1,6,50000000,500000000,14400
sierra.a.6,7,1,7,50000000,500000000,14547
sierra.a.6,8,1,8,50000000,500000000,15049
sierra.a.6,9,1,9,50000000,500000000,14943
sierra.a.6,10,1,10,50000000,500000000,14520
sierra.a.6,11,1,11,50000000,500000000,15862
sierra.a.6,12,1,12,50000000,500000000,14549
sierra.a.6,13,1,13,50000000,500000000,15523
sierra.a.6,14,1,14,50000000,500000000,14986
sierra.a.6,15,1,15,50000000,500000000,14371
sierra.a.6,16,1,16,50000000,500000000,14072
sierra.a.6,17,1,17,50000000,500000000,14815
tahoe,0,1,0,50000000,500000000,12329
tahoe,1,1,1,50000000,500000000,13418
tahoe,2,1,2,50000000,500000000,12509
tahoe,3,1,3,50000000,500000000,13396
tahoe,4,1,4,50000000,500000000,12512
tahoe,5,1,5,50000000,500000000,12221
tahoe,6,1,6,50000000,500000000,13244
tahoe,7,1,7,50000000,500000000,12981
tahoe,8,1,8,50000000,500000000,12156
tahoe,9,1,9,50000000,500000000,11934
tahoe,10,1,10,50000000,500000000,13960
tahoe,11,1,11,50000000,500000000,8532
tahoe,12,1,12,50000000,500000000,12657
tahoe,13,1,13,50000000,500000000,13135
tahoe,14,1,14,50000000,500000000,12373
tahoe,15,1,15,50000000,500000000,12905
tahoe,16,1,16,50000000,500000000,12926
tahoe,17,1,17,50000000,500000000,13681
tahoe,18,1,18,50000000,500000000,13046
tahoe,19,1,19,50000000,500000000,10559
tahoe,20,1,20,50000000,500000000,13214
tahoe,21,1,21,50000000,500000000,13485
tahoe,22,1,22,50000000,500000000,14544
tahoe,23,1,23,50000000,500000000,12615
tahoe,24,1,24,50000000,500000000,14176
tahoe,25,1,25,50000000,500000000,12803
tahoe,26,1,26,50000000,500000000,13654
tahoe,27,1,27,50000000,500000000,11493
tahoe,28,1,28,50000000,500000000,12016
tahoe,29,1,29,50000000,500000000,13966
tahoe,30,1,30,50000000,500000000,11580
tahoe,31,1,31,50000000,500000000,12234
tahoe,32,1,32,50000000,500000000,13498
tahoe,33,1,33,50000000,500000000,13738
tahoe,34,1,34,50000000,500000000,16785
tahoe,35,1,35,50000000,500000000,12927
tahoe,36,1,36,50000000,500000000,14389
tahoe,37,1,37,50000000,500000000,12834
tahoe,38,1,38,50000000,500000000,12900
tahoe,39,1,39,50000000,500000000,11899
tango,0,1,0,50000000,500000000,12217
tango,1,1,1,50000000,500000000,12449
tango,2,1,2,50000000,500000000,12001
tango,3,1,3,50000000,500000000,12581
tango,4,1,4,50000000,500000000,12094
tango,5,1,5,50000000,500000000,12344
tango,6,1,6,50000000,500000000,14308
tango,7,1,7,50000000,500000000,12597
tango,8,1,8,50000000,500000000,18563
tango,9,1,9,50000000,500000000,13457
tango,10,1,10,50000000,500000000,12257
tango,11,1,11,50000000,500000000,12358
tango,12,1,12,50000000,500000000,12363
tango,13,1,13,50000000,500000000,16662
tango,14,1,14,50000000,500000000,12431
tango,15,1,15,50000000,500000000,12544
tango,16,1,16,50000000,500000000,11872
tango,17,1,17,50000000,500000000,11922
tango,18,1,18,50000000,500000000,12042
tango,19,1,19,50000000,500000000,11886
tango,20,1,20,50000000,500000000,12564
tango,21,1,21,50000000,500000000,13025
tango,22,1,22,50000000,500000000,12774
tango,23,1,23,50000000,500000000,12189
tango,24,1,24,50000000,500000000,12779
tango,25,1,25,50000000,500000000,14191
tango,26,1,26,50000000,500000000,11462
tango,27,1,27,50000000,500000000,12311
tango,28,1,28,50000000,500000000,11965
tango,29,1,29,50000000,500000000,12936
tango,30,1,30,50000000,500000000,11880
